!Program,WCSM,V1.05.0
!Device,"FloPro"
!SerialNo,87220
!Ident,"guana"
!Version,V3.11.3
!Upload interval,30
!Channels,11
!Names,"velocity east","depth east","flow rate east","velocity middle","depth middle","flow rate middle","velocity west","depth west","flow rate west","South total flow","North total flow"
!Units,"m/s","m","m3/min","m/s","m","m3/min","m/s","m","m3/day","m3","m3"
!Interval,900
2020/03/03 10:55:29,*Note,"Unit started"
2020/03/03 10:55:33,*Note,"Unit stopped"
!Upload interval,15
2020/03/03 11:45:21,*Note,"Unit started"
2020/03/03 11:46:14,*Note,"Unit stopped"
2020/03/03 11:55:33,*Note,"Unit started"
2020/03/03 11:57:12,*Upload,"HTTP: OK"
2020/03/03 12:00:00,-0.07,1.16,-13.81,0.0,1.16,0.0,-0.07,1.15,-19411.74,0.0,-136.44
2020/03/03 12:00:00,*Note,"Clock adjusted: -1s"
2020/03/03 12:13:19,*Upload,"HTTP: OK"
2020/03/03 12:15:00,-0.04,1.19,-7.24,0.0,1.19,0.0,-0.06,1.18,-16642.21,0.0,-418.32
2020/03/03 12:15:00,*Note,"Clock adjusted: -1s"
2020/03/03 12:20:46,*Note,"Unit stopped"
2020/03/03 12:22:11,*Note,"Unit started"
2020/03/03 12:23:49,*Upload,"HTTP: OK"
2020/03/03 12:30:00,-0.04,1.25,-9.02,0.0,1.26,0.0,-0.05,1.24,-14150.52,0.0,-598.23
2020/03/03 12:30:00,*Note,"Clock adjusted: -1s"
2020/03/03 12:39:56,*Upload,"HTTP: OK"
2020/03/03 12:45:00,-0.2,1.29,-42.87,0.0,1.29,0.0,-0.04,1.28,-11390.16,0.0,-1359.97
2020/03/03 12:45:00,*Note,"Clock adjusted: -1s"
2020/03/03 12:56:04,*Upload,"HTTP: OK"
2020/03/03 13:00:00,-0.06,1.34,-12.14,0.0,1.34,0.0,-0.05,1.33,-16185.87,0.0,-1710.72
2020/03/03 13:00:00,*Note,"Clock adjusted: -1s"
2020/03/03 13:12:11,*Upload,"HTTP: OK"
2020/03/03 13:15:00,-0.04,1.38,-9.69,0.0,1.37,0.0,-0.05,1.37,-14603.96,0.0,-2008.13
2020/03/03 13:15:00,*Note,"Clock adjusted: -1s"
2020/03/03 13:28:19,*Upload,"HTTP: OK"
2020/03/03 13:30:00,-0.06,1.42,-14.53,0.0,1.42,0.0,-0.03,1.41,-11247.1,0.0,-2343.22
2020/03/03 13:30:00,*Note,"Clock adjusted: -1s"
2020/03/03 13:44:26,*Upload,"HTTP: OK"
2020/03/03 13:45:00,-0.05,1.47,-11.22,0.0,1.46,0.0,-0.04,1.46,-13675.29,0.0,-2654.03
2020/03/03 13:45:00,*Note,"Clock adjusted: -1s"
2020/03/03 13:53:35,*Note,"Unit stopped"
!Units,"m/s","m","m3/min","m/s","m","m3/min","m/s","m","m3/min","m3","m3"
2020/03/03 14:17:21,*Note,"Unit started"
2020/03/03 14:18:59,*Upload,"HTTP: OK"
2020/03/03 14:25:00,*Note,"Clock adjusted: -1s"
2020/03/03 14:30:00,-0.14,1.55,-34.83,0.43,1.55,108.48,-0.12,1.54,-28.8,1084.79,-3457.47
2020/03/03 14:35:05,*Upload,"HTTP: OK"
2020/03/03 14:35:15,*Note,"Remote host start"
2020/03/03 14:35:54,*Note,"Unit stopped"
!Channels,12
!Names,"velocity east","depth east","flow rate east","velocity middle","depth middle","flow rate middle","velocity west","depth west","flow rate west","To South totflow","To North totflow","Net Total Flow"
!Units,"m/s","m","m3/min","m/s","m","m3/min","m/s","m","m3/min","m3","m3","m3/min"
2020/03/03 14:51:35,*Note,"Unit started"
2020/03/03 14:51:36,*Note,"Clock adjusted: -1s"
2020/03/03 15:00:00,-0.07,1.58,-17.63,0.41,1.57,105.3,-0.08,1.57,-21.26,1053,-388.88,66.41
!Upload interval,60
2020/03/03 15:07:13,*Upload,"HTTP: OK"
2020/03/03 15:07:42,*Note,"Remote host start"
2020/03/03 15:08:50,*Note,"Unit stopped"
!Names,"velocity east","depth east","flow rate east","velocity middle","depth middle","flow rate middle","velocity west","depth west","flow rate west","To South totflow","To North totflow","total flow rate"
2020/03/03 15:40:16,*Note,"Unit started"
2020/03/03 15:41:01,*Upload,"RHS: OK"
2020/03/03 15:45:00,-0.07,1.57,-18.79,0.0,1.56,0.0,-0.06,1.56,-15.92,1053,-778.63,-34.71
2020/03/03 15:45:00,*Note,"Clock adjusted: -1s"
2020/03/03 15:57:09,*Upload,"HTTP: OK"
2020/03/03 16:00:00,-0.13,1.54,-32.39,0.12,1.52,29.05,-0.08,1.53,-20.96,1488.82,-1578.89,-24.3
2020/03/03 16:00:00,*Note,"Clock adjusted: -1s"
2020/03/03 16:15:00,-0.1,1.47,-25.01,0.53,1.47,126.07,-0.12,1.46,-28.22,3379.89,-2377.38,72.84
2020/03/03 16:30:00,-0.07,1.41,-16.23,0.68,1.4,154.06,-0.08,1.4,-18,5690.77,-2890.75,119.83
2020/03/03 16:45:00,-0.1,1.36,-22.14,0.71,1.35,156.36,-0.12,1.34,-26.3,8036.13,-3617.25,107.92
2020/03/03 16:58:16,*Upload,"HTTP: OK"
2020/03/03 17:00:00,-0.11,1.31,-24.41,0.73,1.31,155.28,-0.12,1.3,-24.31,10365.3,-4348.02,106.56
2020/03/03 17:00:00,*Note,"Clock adjusted: -1s"
2020/03/03 17:15:00,-0.16,1.27,-32.2,0.73,1.27,150.29,-0.13,1.25,-26.43,12619.65,-5227.52,91.66
2020/03/03 17:30:00,-0.18,1.23,-35.99,0.73,1.23,146.06,-0.11,1.21,-22.5,14810.58,-6104.74,87.58
2020/03/03 17:45:00,-0.21,1.18,-39.54,0.73,1.19,139.77,-0.13,1.16,-23.48,16907.17,-7050.01,76.76
2020/03/03 17:59:23,*Upload,"HTTP: OK"
2020/03/03 18:00:00,-0.2,1.12,-36.5,0.64,1.13,117.56,-0.14,1.1,-24.43,18670.52,-7963.99,56.62
2020/03/03 18:00:00,*Note,"Clock adjusted: -1s"
2020/03/03 18:15:00,-0.2,1.06,-34.94,0.59,1.08,103.01,-0.09,1.04,-15.76,20215.65,-8724.38,52.32
2020/03/03 18:30:00,-0.2,0.99,-32.07,0.49,1.04,81.89,-0.05,0.97,-8.3,21444.08,-9329.98,41.52
2020/03/03 18:45:00,-0.21,0.94,-31.57,0.48,0.99,77.78,0.0,0.92,0.46,22671.47,-9857.22,46.68
2020/03/03 19:00:00,-0.17,0.88,-24.83,0.42,0.95,64.77,0.13,0.87,18.77,23924.61,-10229.66,58.71
2020/03/03 19:00:30,*Upload,"HTTP: OK"
2020/03/03 19:05:00,*Note,"Clock adjusted: -1s"
2020/03/03 19:15:00,-0.14,0.82,-18.69,0.47,0.91,68.87,0.04,0.81,5.18,25035.35,-10510.02,55.36
2020/03/03 19:30:00,0.05,0.74,5.27,0.56,0.88,80.51,0.11,0.76,14.05,26572.23,-10549.47,99.83
2020/03/03 19:45:00,0.17,0.69,18.69,0.63,0.84,86.32,0.12,0.7,13.65,28352.22,-10549.47,118.67
2020/03/03 20:00:00,0.13,0.66,14.42,0.67,0.81,87.54,0.09,0.67,9.23,30020.08,-10549.47,111.19
2020/03/03 20:01:37,*Upload,"HTTP: OK"
2020/03/03 20:05:00,*Note,"Clock adjusted: -1s"
2020/03/03 20:15:00,0.29,0.62,28.69,0.7,0.8,90.47,0.18,0.64,18.6,32086.48,-10549.47,137.76
2020/03/03 20:30:00,0.32,0.59,30.6,0.67,0.79,85.34,0.14,0.6,13.98,34035.25,-10549.47,129.92
2020/03/03 20:45:00,0.26,0.56,23.62,0.63,0.75,77.3,0.22,0.57,20.29,35853.44,-10549.47,121.21
2020/03/03 21:00:00,0.32,0.54,28.43,0.61,0.74,73.69,0.22,0.56,20.49,37692.48,-10549.47,122.6
2020/03/03 21:02:43,*Upload,"HTTP: OK"
2020/03/03 21:05:00,*Note,"Clock adjusted: -1s"
2020/03/03 21:15:00,0.31,0.54,27.72,0.7,0.73,82.66,0.26,0.54,23.03,39693.67,-10549.47,133.41
2020/03/03 21:30:00,0.28,0.56,25.13,0.69,0.74,82.85,0.26,0.56,23.2,41661.29,-10549.47,131.17
2020/03/03 21:45:00,0.28,0.58,26.42,0.64,0.76,78.78,0.2,0.59,18.69,43519.81,-10549.47,123.9
2020/03/03 22:00:00,0.26,0.58,23.8,0.69,0.74,82.89,0.19,0.59,17.78,45386.75,-10549.47,124.46
2020/03/03 22:03:50,*Upload,"HTTP: OK"
2020/03/03 22:05:00,*Note,"Clock adjusted: -1s"
2020/03/03 22:15:00,0.23,0.58,21.62,0.67,0.76,82.42,0.18,0.6,17.37,47207.89,-10549.47,121.41
2020/03/03 22:30:00,0.15,0.63,15.12,0.7,0.81,92.77,0.13,0.66,14.24,49039.9,-10549.47,122.13
2020/03/03 22:45:00,0.03,0.73,3.98,0.69,0.86,95.97,-0.08,0.75,-9.94,50539.18,-10698.55,90.01
2020/03/03 23:00:00,0.08,0.8,9.8,0.66,0.92,97.71,-0.09,0.83,-12.87,52151.81,-10891.62,94.64
2020/03/03 23:04:57,*Upload,"HTTP: OK"
2020/03/03 23:10:00,*Note,"Clock adjusted: -1s"
2020/03/03 23:15:00,-0.02,0.88,-2.75,0.7,0.96,109.63,-0.18,0.9,-26.23,53857.86,-11387.97,80.65
2020/03/03 23:30:00,-0.05,0.94,-8.36,0.73,1.01,119.67,-0.22,0.96,-34,55652.97,-12023.29,77.32
2020/03/03 23:45:00,-0.09,1,-13.9,0.73,1.05,124.23,-0.24,1.01,-39.01,57516.48,-12816.97,71.32
2020/03/04 00:00:00,-0.1,1.05,-17.31,0.74,1.09,130.39,-0.25,1.07,-43.25,59472.36,-13725.29,69.84
2020/03/04 00:06:03,*Upload,"HTTP: OK"
2020/03/04 00:10:00,*Note,"Clock adjusted: -1s"
2020/03/04 00:15:00,-0.09,1.12,-16.13,0.73,1.14,134.93,-0.27,1.13,-49.64,61496.33,-14711.77,69.17
2020/03/04 00:30:00,-0.06,1.19,-12.27,0.71,1.2,138.76,-0.27,1.2,-52.81,63577.74,-15687.94,73.68
2020/03/04 00:45:00,-0.05,1.27,-9.57,0.7,1.28,145.66,-0.26,1.27,-52.43,65762.68,-16617.95,83.66
2020/03/04 01:00:00,-0.07,1.35,-14.94,0.69,1.35,150.65,-0.23,1.35,-49.57,68022.44,-17585.73,86.13
2020/03/04 01:07:09,*Upload,"HTTP: OK"
2020/03/04 01:10:00,*Note,"Clock adjusted: -1s"
2020/03/04 01:15:00,-0.07,1.42,-15.66,0.7,1.41,161.1,-0.19,1.41,-44.28,70486.87,-18532.75,101.16
2020/03/04 01:30:00,-0.01,1.49,-2.51,0.41,1.48,97.68,0.0,1.48,0.0,72064.09,-18682.33,95.18
2020/03/04 01:45:00,0.03,1.54,6.7,-0.05,1.53,-12.29,-0.03,1.53,-7.21,72397.56,-19207.7,-12.79
2020/03/04 02:00:00,0.0,1.58,0.0,-0.01,1.57,-3.1,-0.11,1.57,-28.83,72397.56,-19686.6,-31.93
2020/03/04 02:08:16,*Upload,"HTTP: OK"
2020/03/04 02:10:00,*Note,"Clock adjusted: -1s"
2020/03/04 02:15:00,-0.07,1.62,-18.18,-0.09,1.61,-23.81,-0.01,1.61,-2.31,72608.85,-20562.43,-44.3
2020/03/04 02:30:00,0.07,1.66,18.46,-0.07,1.65,-18.73,0.16,1.65,41.48,73555.28,-20890.61,41.22
2020/03/04 02:45:00,-0.04,1.71,-11.26,-0.02,1.7,-4.18,-0.05,1.7,-12.4,73555.28,-21308.07,-27.83
2020/03/04 03:00:00,-0.04,1.74,-11.66,-0.04,1.73,-10.14,0.0,1.73,0.0,73787.04,-21866.89,-21.8
2020/03/04 03:09:23,*Upload,"HTTP: OK"
2020/03/04 03:10:00,*Note,"Clock adjusted: -1s"
2020/03/04 03:15:00,-0.1,1.78,-28.57,0.0,1.77,0.0,-0.1,1.77,-27.62,73787.04,-22709.73,-56.19
2020/03/04 03:30:00,-0.08,1.81,-24.79,-0.04,1.8,-11.06,-0.1,1.8,-30.32,73848.55,-23763.74,-66.17
2020/03/04 03:45:00,-0.06,1.83,-17.41,0.0,1.82,0.0,-0.02,1.82,-6.13,73962.49,-24230.82,-23.54
2020/03/04 04:00:00,-0.06,1.84,-17.47,-0.02,1.82,-5.11,-0.04,1.83,-13.04,73962.49,-24765.12,-35.62
2020/03/04 04:10:30,*Upload,"HTTP: OK"
2020/03/04 04:15:00,-0.07,1.84,-21.17,0.0,1.82,0.0,0.0,1.83,0.0,73962.49,-25082.7,-21.17
2020/03/04 04:15:00,*Note,"Clock adjusted: -1s"
2020/03/04 04:30:00,0.0,1.84,0.0,0.0,1.82,0.0,0.0,1.82,0.0,73962.49,-25082.7,0.0
2020/03/04 04:45:00,0.01,1.83,3.18,0.0,1.81,0.0,0.0,1.82,0.0,74269.41,-25341.93,3.18
2020/03/04 05:00:00,0.0,1.82,0.65,0.0,1.8,0.0,-0.01,1.81,-4.01,74367.12,-25490.09,-3.36
2020/03/04 05:11:37,*Upload,"HTTP: OK"
2020/03/04 05:15:00,-0.08,1.8,-22.22,0.03,1.78,9.96,-0.11,1.79,-30.73,74516.56,-26284.32,-42.99
2020/03/04 05:15:00,*Note,"Clock adjusted: -1s"
2020/03/04 05:30:00,-0.03,1.76,-7.69,0.01,1.74,3.58,0.0,1.74,0.0,74819.92,-26649.28,-4.11
2020/03/04 05:45:00,-0.02,1.7,-5.85,0.02,1.68,4.71,-0.04,1.69,-11.26,74990.63,-27006,-12.4
2020/03/04 06:00:00,0.04,1.64,10.35,0.0,1.61,0.0,-0.06,1.63,-16.52,75145.82,-27253.84,-6.18
2020/03/04 06:12:44,*Upload,"HTTP: OK"
2020/03/04 06:15:00,0.04,1.57,10.69,0.0,1.55,0.0,0.03,1.56,6.71,75832.6,-27679.64,17.4
2020/03/04 06:15:00,*Note,"Clock adjusted: -1s"
2020/03/04 06:30:00,0.0,1.51,0.0,0.18,1.49,42.64,-0.17,1.5,-40.71,76472.21,-28290.31,1.93
2020/03/04 06:45:00,0.0,1.45,0.0,0.56,1.44,129.62,-0.22,1.44,-51.14,78416.47,-29057.35,78.48
2020/03/04 07:00:00,-0.05,1.39,-11.69,0.67,1.38,148.8,-0.11,1.38,-24.73,80648.51,-29603.72,112.38
2020/03/04 07:13:50,*Upload,"HTTP: OK"
2020/03/04 07:15:00,-0.15,1.32,-33.08,0.73,1.32,155.74,-0.15,1.31,-31.38,82984.57,-30570.55,91.28
2020/03/04 07:30:00,-0.17,1.26,-33.93,0.71,1.26,145.44,-0.13,1.25,-26.23,85166.1,-31473.07,85.27
2020/03/04 07:45:00,-0.19,1.2,-36.94,0.74,1.2,143.88,-0.14,1.19,-27.33,87324.32,-32437.17,79.61
2020/03/04 08:00:00,-0.21,1.13,-38.06,0.74,1.15,138.45,-0.11,1.12,-19.57,89401.01,-33301.54,80.82
2020/03/04 08:14:58,*Upload,"HTTP: OK"
2020/03/04 08:15:00,-0.23,1.05,-38.37,0.74,1.08,128.33,-0.11,1.03,-18.25,91325.92,-34150.86,71.71
2020/03/04 08:20:00,*Note,"Clock adjusted: -1s"
2020/03/04 08:30:00,-0.19,0.96,-29.06,0.71,1.01,115.36,-0.13,0.94,-19.55,93056.27,-34880.11,66.74
2020/03/04 08:45:00,-0.18,0.89,-25.33,0.69,0.95,105.88,-0.1,0.86,-14.72,94644.43,-35480.85,65.83
2020/03/04 09:00:00,-0.12,0.83,-16.73,0.64,0.92,95.61,-0.07,0.8,-9.11,96078.64,-35868.51,69.77
2020/03/04 09:15:00,-0.09,0.79,-12.13,0.67,0.89,96.26,-0.1,0.77,-12.03,97522.5,-36230.84,72.1
